0.01.958.052 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.964.256 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.01.964.263 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.01.964.407 I srv          init: The UI is disabled
0.01.964.408 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.964.530 W srv  llama_server: -----------------
0.01.964.536 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.964.536 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.964.536 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.964.537 W srv  llama_server: -----------------
0.01.971.163 I srv    load_model: loading model 'C:/Projelerim/modeller/e5-small-alt-q8_0.gguf'
0.03.821.203 W load: model vocab missing newline token, using special_pad_id instead
0.03.962.743 W llama_context: n_ctx_seq (512) > n_ctx_train (511) -- possible training context overflow
0.03.966.368 I cmn          init: llama threadpool init, n_threads = 12
0.03.989.397 W srv    load_model: the slot context (512) exceeds the training context of the model (511) - capping
0.03.989.407 W srv    load_model: speculative decoding not supported by this context
0.03.989.408 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 511, kv_unified = 'true'
0.03.994.748 I srv  llama_server: model loaded
0.03.994.760 I srv  llama_server: listening on http://127.0.0.1:8093
0.04.875.536 I slot      release: id  2 | task 146 | stop processing: n_tokens = 15, truncated = 0
0.04.877.539 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2885196
0.04.877.556 I slot launch_slot_: id  1 | task 148 | processing task, is_child = 0
0.04.883.356 I slot      release: id  1 | task 148 | stop processing: n_tokens = 20, truncated = 0
0.04.885.764 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2894385
0.04.885.778 I slot launch_slot_: id  0 | task 150 | processing task, is_child = 0
0.04.891.782 I slot      release: id  0 | task 150 | stop processing: n_tokens = 19, truncated = 0
0.04.905.364 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2903602
0.04.905.381 I slot launch_slot_: id  3 | task 152 | processing task, is_child = 0
0.04.910.054 I slot      release: id  3 | task 152 | stop processing: n_tokens = 15, truncated = 0
0.04.926.973 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2920967
0.04.926.985 I slot launch_slot_: id  2 | task 154 | processing task, is_child = 0
0.04.930.616 I slot      release: id  2 | task 154 | stop processing: n_tokens = 12, truncated = 0
0.04.953.921 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2928790
0.04.953.935 I slot launch_slot_: id  1 | task 156 | processing task, is_child = 0
0.04.958.473 I slot      release: id  1 | task 156 | stop processing: n_tokens = 15, truncated = 0
0.04.960.686 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2937216
0.04.960.702 I slot launch_slot_: id  0 | task 158 | processing task, is_child = 0
0.04.965.735 I slot      release: id  0 | task 158 | stop processing: n_tokens = 17, truncated = 0
0.04.968.023 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2955485
0.04.968.038 I slot launch_slot_: id  3 | task 160 | processing task, is_child = 0
0.04.973.171 I slot      release: id  3 | task 160 | stop processing: n_tokens = 16, truncated = 0
